fact_id	fact
0	0globuli
1	0mg
2	0zapftis
3	100000mark
4	1000dankefürdieunterstützung
5	1000jahregerdinnerpartei
6	1000kreuze
7	1000möglichkeiten
8	1000thx
9	1001rampe
10	100cosassobremi
11	100fürgrundeinkommen
12	100gr
13	100grundeinkommen
14	100jahrestrom
15	100m
16	100mbit
17	100personen
18	100prozent
19	100prozentfürhh
20	100prozentsozial
21	100stunden
22	100stundencountdown
23	100stundenwahlka
24	100t
25	100t100b
26	100tage
27	100tage100orte
28	1046rtl
29	108e
30	10eurowahlprämie
31	10jahrejungundsommersprossen
32	10tage
33	10tage10verbote
34	10thbirthday
35	110md
36	111gründe
37	11freunde
38	11smx
39	12c
40	12octantifa
41	12oder3
42	12oktober
43	12v12
44	12von12
45	1337mate
46	13august
47	13principles
48	13tage
49	13tefee
50	140zeichen
51	14tage
52	14votes
53	150jahre
54	150jahrespd
55	150mrd
56	150plakate
57	150spd
58	150xneinklicken
59	15jahre
60	15min
61	15pi
62	15pira
63	15piraten
64	15tage
65	16ländern
66	16tage
67	17agustos
68	17c3
69	17tage
70	18o
71	18tage
72	18wahl
73	18wp
74	1984_ist_obsolet
75	1984day
76	1984isnow
77	1984now
78	198piraten
79	19feb
80	19o
81	19p
82	19piraten
83	19tage
84	1gegen1
85	1live
86	1live0210
87	1mai
88	1mal1
89	1millionstrong
90	1mio
91	1smx
92	1stundepolitikfrei
93	1stworldproblems
94	1tag
95	1und1
96	1x1
97	1year
98	1yearonmars
99	1zu1
100	200gründe
101	200tage
102	2013endra
103	20h09
104	20minuten
105	20mio
106	20p
107	20pi
108	20pir
109	20pira
110	20pirat
111	20piraten
112	20sgr
113	20tage
114	21hnonmention
115	21pir
116	21piraten
117	21sept
118	21tage
119	22milliarden
120	22sep13
121	22tage
122	22uhr10nonmention
123	22uhrnonmention
124	230v
125	23andme
126	23innrw
127	23tage
128	247wahlkampf
129	24h
130	24hoursae
131	24hrsae
132	24hschatzischicht
133	24htag
134	24stundenschatzischicht
135	25jahre
136	25piraten
137	25tage
138	26c3
139	26tage
140	27j
141	27jber
142	27jberlin
143	27jstralsund
144	28c3
145	28dayslatertweet
146	28tage
147	29gruene
148	2bl
149	2fliegen
150	2komma3
151	2liga
152	2minuten
153	2rg
154	2tage
