agent_id	agent	account_id	account	account_description	party
0	Florian Köhler	6712152	Cheatha	Musik, Fotografie, Mac, Linux, freie Software, Nerdkram, Piraten, soup.io-Süchtling und @RaumZeitLabor'ant. Tweets CC-BY: http://t.co/O0OVPvLs	Piratenpartei
1	Alexander Gaus	12870642	alexgaus		Die Grünen
2	Dennis Deutschkämer	14446872	_rony		Piratenpartei
3	Malte Spitz	14618956	maltespitz	Mitglied im Bundesvorstand Bündnis 90/Die Grünen Themen: Medien-, Netz-, Bürgerrechtspolitik. Kandidat zur #btw13.	Die Grünen
4	Thorsten Wirth	14857351	insideX	Humanhedonist, baue gerade am Todesstern und ansonsten bin ich Papa, AK-Vorrat, Datenschützer, Referent, Koch, Fotograf, Bassist, Motorrad, Pirad und Arschloch.	Piratenpartei
5	Miriam Lakemann	15178979	mueslikind	Weltrettung, Bildung, Politik, Demokratie, Grundeinkommen, Schadstoffe, Soziale Ungleichheit, Seeräuber...	Piratenpartei
6	Herbert Rusche	15288330	Herusche	Ein Kandidat der hessischen Piraten für den Deutschen Bundestag. http://t.co/Bs0Ke2qXJJ	Piratenpartei
7	Michael Székely	15437706	mi_szekely	Rechtsanwalt, Vater, liberal	FDP
8	Johannes Vogel	15630931	johannesvogel	Mitglied des Deutschen Bundestages, Arbeitsmarktpolitischer Sprecher der FDP-Bundestagsfraktion, Mitglied des FDP-Bundesvorstandes	FDP
9	Michael Vietz	15691333	michaelvietz	Hamelner, Niedersachse, Christdemokrat, Katholik - wer mehr wissen will, fragt...	CDU
10	Katharina Dröge	15722010	katdro	Vorsitzende Grüne Köln, Bundestagskandidatin für den WK Chorweiler, Ehrenfeld, Nippes Schwerpunkte: Haushalts- & Finanzpolitik; arbeite im Umweltministerium NRW	Die Grünen
11	Enno Lenze	15761692	ennolenze	Berlin Story Verlag, Historiale Vorstand, Krisengebietsbeauftragter der Piratenpartei BerlinPortrait: Benjamin Bergemann	Piratenpartei
12	Lars Zillger	15810043	womburger		Piratenpartei
13	Hubertus Heil	15943222	hubertus_heil	Mitglied des Deutschen Bundestages und stellvertretender Vorsitzender der SPD-Bundestagsfraktion	SPD
14	Udo Vetter	15998669	udovetter	Strafverteidiger	Piratenpartei
